layer,document,pairs_reviewed
assertion,prov-models-entities-activities-agents,8
assertion,prov-validity-is-internal-consistency,4
assertion,prov-derivation-conditions-unspecified,3
assertion,critical-apparatus-binds-reading-to-witnesses,5
assertion,agentic-context-engineering-as-design-task,5
assertion,agentic-promptotyping-knowledge-base-artifact,5
assertion,card-index-organizes-knowledge-as-addressable-linked-notes,4
assertion,plain-text-meets-archival-format-criteria,9
assertion,obsidian-stores-notes-as-plain-text-with-rebuildable-derived-state,6
assertion,block-references-address-blocks-as-literal-text-markers,6
assertion,obsidian-link-registers-map-files-to-files,4
assertion,block-references-are-specific-to-obsidian,2
assertion,attribution-is-separate-from-correctness,4
assertion,generated-citations-often-fail-to-support-their-sentences,2
assertion,source-binding-lowers-unsupported-citation-without-eliminating-it,3
assertion,resolvable-citation-without-support-is-a-distinct-error-class,4
assertion,llm-evaluators-favor-their-own-generations,3
assertion,cross-family-evaluator-panels-reduce-intra-model-bias,3
assertion,historical-method-separates-origin-check-from-credibility,4
assertion,llm-summaries-broaden-the-scope-of-findings,3
distillate,prov-dm-20130430,27
distillate,prov-constraints-20130430,22
distillate,tei-p5-critical-apparatus,50
distillate,rashkin-2023-measuring-attribution,15
distillate,gao-2023-llms-generate-text-with-citations,17
distillate,liu-2023-evaluating-verifiability-generative-search-engines,20
distillate,liu-2024-lost-in-the-middle,19
distillate,fabricated-citations-chatgpt-2023,12
distillate,generalization-bias-llm-summarization-2025,10
distillate,legal-ai-research-tools-hallucination-2025,11
distillate,llm-evaluators-self-preference-2024,14
distillate,llm-jury-panel-evaluation-2024,10
distillate,anthropic-2025-context-engineering,6
distillate,obsidian-help-data-storage,10
distillate,obsidian-help-internal-links,19
distillate,obsidian-docs-metadatacache,12
distillate,obsidian-help-obsidian-flavored-markdown,8
distillate,pollin-2025-dissertation-ch74,7
distillate,promptotyping-specification-2026-07-31,29
distillate,loc-recommended-formats-2025-2026,14
distillate,tna-selecting-file-formats-2008,19
distillate,dpc-handbook-file-formats-and-standards,18
distillate,schmidt-2018-luhmann-card-index,16
distillate,bernheim-1908-lehrbuch-historische-methode,9
distillate,langlois-seignobos-1898-introduction,11
chapter,blog-stuetzungsluecke-2026-08,9
