layer,round,document,anchor,verdict,category
assertion,1,prov-models-entities-activities-agents,prov-dm-20130430#^s10,fully supports,
assertion,1,prov-models-entities-activities-agents,prov-dm-20130430#^s11,fully supports,
assertion,1,prov-models-entities-activities-agents,prov-dm-20130430#^s12,fully supports,
assertion,1,prov-models-entities-activities-agents,prov-dm-20130430#^s13,fully supports,
assertion,1,prov-models-entities-activities-agents,prov-dm-20130430#^s21,fully supports,
assertion,1,prov-models-entities-activities-agents,prov-dm-20130430#^s22,fully supports,
assertion,1,prov-models-entities-activities-agents,prov-dm-20130430#^s23,fully supports,
assertion,1,prov-models-entities-activities-agents,prov-dm-20130430#^s24,fully supports,
assertion,1,prov-validity-is-internal-consistency,prov-constraints-20130430#^s4,fully supports,
assertion,1,prov-validity-is-internal-consistency,prov-constraints-20130430#^s5,fully supports,
assertion,1,prov-validity-is-internal-consistency,prov-constraints-20130430#^s17,fully supports,
assertion,1,prov-validity-is-internal-consistency,prov-dm-20130430#^s2,partially supports,scope mismatch
assertion,1,prov-derivation-conditions-unspecified,prov-dm-20130430#^s17,fully supports,
assertion,1,prov-derivation-conditions-unspecified,prov-dm-20130430#^s18,fully supports,
assertion,1,prov-derivation-conditions-unspecified,prov-dm-20130430#^s19,partially supports,producer inference
assertion,1,critical-apparatus-binds-reading-to-witnesses,tei-p5-critical-apparatus#^s12,fully supports,
assertion,1,critical-apparatus-binds-reading-to-witnesses,tei-p5-critical-apparatus#^s16,fully supports,
assertion,1,critical-apparatus-binds-reading-to-witnesses,tei-p5-critical-apparatus#^s17,fully supports,
assertion,1,critical-apparatus-binds-reading-to-witnesses,tei-p5-critical-apparatus#^s22,partially supports,modality drift
assertion,1,critical-apparatus-binds-reading-to-witnesses,tei-p5-critical-apparatus#^s23,overreaches,modality drift
assertion,1,agentic-context-engineering-as-design-task,anthropic-2025-context-engineering#^s2,fully supports,
assertion,1,agentic-context-engineering-as-design-task,anthropic-2025-context-engineering#^s4,fully supports,
assertion,1,agentic-context-engineering-as-design-task,anthropic-2025-context-engineering#^s6,fully supports,
